"iso3c","nutrient","total_supply_all","total_supply_OA_all","relative_supply_all","supply_diff_all"
"EGY","Calcium",6401231.62567211,5978634.39623642,1.07068457467507,422597.229435692
"EGY","DHA+EPA",4827.85818528082,4509.13210059648,1.07068457467507,318.726084684347
"EGY","Iron",56055.0417307966,52354.3936810786,1.07068457467507,3700.648049718
"EGY","Vitamin A",864314.12115603,807253.734292692,1.07068457467507,57060.3868633376
"EGY","Vitamin B12",46783.9403748081,43695.3529371675,1.07068457467507,3088.58743764057
"EGY","Zinc",7227.87239493708,6750.70190222047,1.07068457467507,477.170492716611
"ERI","Calcium",35742201.2417278,33089478.0689434,1.0801681781519,2652723.17278434
"ERI","DHA+EPA",54179.1568519383,50158.0753328945,1.0801681781519,4021.08151904375
"ERI","Iron",274724.032777942,254334.499325817,1.0801681781519,20389.5334521255
"ERI","Vitamin A",4490550.02148031,4157269.31445376,1.0801681781519,333280.707026544
"ERI","Vitamin B12",314752.785156812,291392.388262479,1.0801681781519,23360.3968943332
"ERI","Zinc",39165.6119746541,36258.8092917754,1.0801681781519,2906.8026828787
"ESP","Calcium",NA,NA,NA,NA
"ESP","DHA+EPA",NA,NA,NA,NA
"ESP","Iron",NA,NA,NA,NA
"ESP","Vitamin A",NA,NA,NA,NA
"ESP","Vitamin B12",NA,NA,NA,NA
"ESP","Zinc",NA,NA,NA,NA
"EST","Calcium",NA,NA,NA,NA
"EST","DHA+EPA",NA,NA,NA,NA
"EST","Iron",NA,NA,NA,NA
"EST","Vitamin A",NA,NA,NA,NA
"EST","Vitamin B12",NA,NA,NA,NA
"EST","Zinc",NA,NA,NA,NA
"FJI","Calcium",21496099.2815966,18611204.7502368,1.15500847849858,2884894.53135978
"FJI","DHA+EPA",48804.6065494595,42254.7604264357,1.15500847849858,6549.84612302388
"FJI","Iron",300160.259854354,259877.105183279,1.15500847849858,40283.1546710759
"FJI","Vitamin A",7467722.73120876,6465513.34490306,1.15500847849858,1002209.3863057
"FJI","Vitamin B12",338214.623141576,292824.364009196,1.15500847849858,45390.2591323803
"FJI","Zinc",70003.8386746493,60608.9392223758,1.15500847849858,9394.89945227349
"FRA","Calcium",NA,NA,NA,NA
"FRA","DHA+EPA",NA,NA,NA,NA
"FRA","Iron",NA,NA,NA,NA
"FRA","Vitamin A",NA,NA,NA,NA
"FRA","Vitamin B12",NA,NA,NA,NA
"FRA","Zinc",NA,NA,NA,NA
"FRO","Calcium",NA,NA,NA,NA
"FRO","DHA+EPA",NA,NA,NA,NA
"FRO","Iron",NA,NA,NA,NA
"FRO","Vitamin A",NA,NA,NA,NA
"FRO","Vitamin B12",NA,NA,NA,NA
"FRO","Zinc",NA,NA,NA,NA
"FSM","Calcium",1143468.2363066,1018114.50939725,1.12312340679985,125353.726909348
"FSM","DHA+EPA",3188.64247971086,2839.08469933536,1.12312340679985,349.557780375499
"FSM","Iron",11816.6096161544,10521.2032307507,1.12312340679985,1295.40638540363
"FSM","Vitamin A",605509.758072865,539130.209918928,1.12312340679985,66379.5481539371
"FSM","Vitamin B12",15261.3948486441,13588.3508047694,1.12312340679985,1673.0440438747
"FSM","Zinc",3017.65559805449,2686.84240732974,1.12312340679985,330.813190724749
"GAB","Calcium",NA,NA,NA,NA
"GAB","DHA+EPA",NA,NA,NA,NA
"GAB","Iron",NA,NA,NA,NA
"GAB","Vitamin A",NA,NA,NA,NA
"GAB","Vitamin B12",NA,NA,NA,NA
