"MPA_reef_countries.p.","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop","total_pop"
"TWN",7.83663669228554,14.6643768846989,14.6643768846989,14.6643768846989,14.6643768846989,14.6643768846989,14.6643768846989,31.4389207661152,86.3891752064228,100.054502040148,100.054502040148,100.054502040148,100.054502040148,100.054502040148,104.567770510912,172.951712161303,673.55319789052,1531.60400393605,2108.6492023766,2651.90353706479,3007.70325925946,3402.3452937901,3591.82156732678,3668.32497790456,3683.19964888692,3683.19964888692,3694.85062792897,4170.35006716847,4269.18979266286,4605.74100592732
"BHS",691.005229372531,1321.18594926968,2583.06754950061,3785.02044734731,4376.29100300744,5082.44809226319,5694.46082637832,6336.80197848752,7307.39595927671,8169.41564453766,9126.49582442269,10258.3184186257,11471.2263514586,13374.924583707,15405.7143599205,17423.2949857786,18973.9490622357,20137.4454037175,21175.5333317593,21696.1771330312,22128.2281730771,22428.2652173489,22754.5693351701,23026.6158083826,23302.7695683688,23605.8844786994,23836.4701276198,24008.7165494785,24182.7606832087,24373.8318898901
"JAM",17661.5370848775,36306.9216049314,54610.4775260091,76832.9912007451,107577.543167293,149793.182951391,193671.801391065,244748.399382472,299763.059089854,359099.77613838,410496.732754335,462496.614992246,521568.014235362,582156.523078874,657587.685818329,736503.149902478,807791.012387052,888530.007377312,949042.516358063,1001871.02566163,1047004.73114221,1100325.80949454,1192385.58943896,1279703.30070238,1375774.50387411,1461077.9348896,1570563.03244571,1674694.62966518,1787078.0584877,1890978.85080795
"MEX",108.718207720667,149.210162531585,188.584387809038,207.518872870132,225.912189688534,233.373132795095,240.26521815639,260.558487820439,267.612020416185,289.975480879657,316.634472549893,347.048426211812,388.380854859017,455.818986416794,537.363711331971,919.743330662139,2512.24552918132,4484.78620222863,4633.81106086727,4733.72434110101,5012.09761302825,5533.57379875984,5750.85285611358,6510.72607596125,7262.55785070267,7717.54123812821,8082.99615012016,9195.6223225249,10035.3301129891,10560.2654157011
"TCA",4207.06562900543,5521.05883359909,5699.21605443954,5699.21605443954,5699.21605443954,5699.21605443954,5699.21605443954,5699.21605443954,5699.79647356272,5700.8861733377,5717.89162613079,5739.61749817058,5764.28679258749,5797.35571576282,5799.4194499962,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619,5800.21233130619
"BRB",13473.2756958008,22651.2795219421,35206.3242149353,49205.6580619812,67006.241607666,82741.1151046753,102078.237056732,120479.347805023,140105.416233063,162575.416465759,177909.723658085,190646.823650122,201693.678753614,211873.954291105,218589.205881834,230094.563868284,239066.283537626,251200.404770613,261780.105020285,269690.470729589,276441.246640921,283185.529088736,287311.16402173,288140.842882395,288140.842882395,288140.842882395,288140.842882395,288140.842882395,288140.842882395,288140.842882395
"FJI",2558.12993514165,3579.05398958549,4238.56307857856,4641.19580721483,4847.83348428831,5010.75648706779,5228.6966332756,5581.5938119255,6149.85928862914,6796.4167320095,7709.01739185676,9140.49386471137,10352.5564921461,11749.3566543423,12211.4780722223,12796.6318047605,13315.6756210886,13818.141093906,14265.2580012046,15218.0766345225,15869.5966156684,16171.185369458,16390.2649131678,16810.802903261,17185.2506404184,17504.3533357643,17918.3574786447,18438.8285279088,18846.8323457204,19251.751593288
"COK",2466.97490119934,3894.50423049927,5340.55699062347,7513.23565483093,9352.20461273193,11697.3049907684,13722.596529007,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605,13868.9614982605
"KIR",42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259,42.1651054227259
"JPN",521.792693972588,1100.17265498638,1584.94955611229,1859.68864297867,2287.05486392975,3038.91107952595,4110.10830128193,5662.49210703373,7550.38103926182,13004.606267333,22637.3406206071,33814.1419844627,43868.0233339071,47021.1329797506,48191.9169462323,48315.4809957147,48396.2489162683,48541.6045244932,48699.5414193869,48851.7912663817,49030.1473398805,49241.5110755563,49459.8633349538,49660.2103069425,49867.3399691284,50028.746963948,50165.4878488481,50346.6827979982,50560.4795205295,50745.720048666
"PHL",166120.930618048,424694.22137332,709322.500363111,986030.846595287,1307625.22881651,1691190.10428882,2137060.17866433,2584374.58692443,3137034.40683377,3769338.54959261,4270732.68287516,4664237.40234387,5079723.74645996,5571321.18010938,6161503.51372415,6662926.81838918,7106368.63767374,7461047.22643691,7759472.48101157,8090070.18561655,8407282.68658549,8713587.78269422,8995506.43217486,9272280.70483649,9558785.07733369,9846391.61242604,10171333.8141375,10503580.6466768,10817975.5315021,11104975.4436592
"PNG",17.3483724594116,20.0196604430676,21.1259921491146,21.1259921491146,21.1259921491146,21.1259921491146,27.1535964012146,27.1535964012146,29.590142250061,29.590142250061,29.590142250061,38.6853466629982,38.6853466629982,38.6853466629982,38.6853466629982,38.6853466629982,38.6853466629982,38.6853466629982,38.6853466629982,50.8068897128105,125.573151230812,352.678907573223,648.158257521689,1100.5749752894,1689.09847182781,2325.88821489364,3022.60126448423,3733.60198966414,4545.46557436138,5418.07148566097
