iso3c,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
FJI,89114.94406,125812.8637,155201.1223,196612.692,236924.2069,285198.1408,331828.6902,387223.125,448403.463,494961.4135,541463.7885,580100.3235,629483.1789,676561.4079,695599.1769,711610.1532,730823.0505,754669.7822,779451.8824,813667.3961,844519.2362,857229.388,864393.5898,870219.7577,874266.8928,877803.7176,881238.9324,884698.631,888120.7069,890832.5961
MOZ,1042734.552,1087938.555,1129205.156,1168623.419,1206914.154,1244423.806,1279421.005,1322068.406,1371631.546,1419435.974,1467734.553,1514821.678,1579102.845,1656070.441,1736189.875,1817734.183,1902295.684,1991396.831,2075970.487,2157349.252,2242431.168,2320809.303,2395204.721,2476788.95,2570555.114,2677728.028,2818508.415,3021343.77,3258988.2,3495840.85
PHL,2516064.227,3541429.378,4424816.482,5340266.056,6316773.632,7221581.393,8129422.584,9036559.847,9934760.859,10822422.93,11674467.15,12597811.39,13519700.66,14497683.66,15587855.86,16685553.07,17766892.26,18921989.33,20042213.73,21123989.12,22203300.17,23253514.48,24243782.09,25198779.69,26138343.86,27051287.21,28016650.27,29027172.05,30170397.88,31418270
BHS,37888.3689,60373.67544,76570.65641,95149.9281,117453.1615,138672.2013,166440.6227,194243.7312,228979.5892,253281.557,278766.7942,296726.255,309982.9163,323902.8672,334710.1828,345435.5796,354161.4898,358623.6099,362544.1621,365769.3307,368496.9645,370501.9729,372770.9539,375013.5709,377083.7799,378840.9147,380248.4077,381697.3178,383274.2519,384319.45
BRA,1226483.182,1959184.207,2566375.215,3161605.795,3841372.889,4465408.999,4834680.68,5210540.019,5384870.161,5518827.525,5636452.59,5848860.21,6053347.861,6285761.196,6559858.79,6859488.328,7172652.153,7454773.875,7633437.782,7792212.085,7983266.666,8143028.334,8284927.612,8373284.485,8443842.223,8524811.062,8643199.613,8819770.471,8997597.907,9122238.963
COL,138974.0633,193236.1407,254321.9305,332289.9726,416370.9418,510207.7478,582106.3416,636611.9809,689135.0534,740232.8376,785484.0456,835666.4959,871710.2078,928909.4285,1005258.826,1069444.846,1154902.959,1229552.317,1354606.146,1460926.716,1610931.238,1763169.457,1905307.114,2021160.507,2132391.805,2198469.638,2245635.122,2289180.732,2337932.083,2397034.973
MDG,144466.6467,191412.3489,238784.1439,285212.5274,335087.9588,384225.3706,427813.3414,468454.1166,510217.37,571575.3251,638644.5417,721728.75,817421.546,928602.3218,1062731.634,1171189.629,1271856.472,1362369.852,1443052.428,1512401.085,1572657.327,1636258.959,1691883.592,1740296.516,1786318.398,1828011.731,1868009.347,1905847.692,1944136.929,1982598.459
SAU,463709.4781,537091.4991,613748.6022,683495.7399,757596.9899,834522.4117,914557.2668,989455.6855,1064803.934,1142864.457,1219918.652,1296103.864,1377538.873,1462496.919,1551916.837,1647926.383,1752200.226,1863929.423,1990258.386,2118839.566,2263861.001,2409874.871,2566214.866,2723775.68,2872736.668,3051535.787,3234607.737,3423887.082,3613198.541,3777958.852
ABW,8322.110129,26960.08394,36722.39133,42777.78533,48404.60701,57331.66441,65597.13529,77550.13519,86623.72538,99532.1002,107384.4456,112402.0294,114136.4863,115212.1799,115269.4663,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966,115285.1966
VCT,13697.59839,25906.50224,36638.44179,46573.46735,55688.8484,63208.87723,70514.41711,74423.28512,78796.57876,82172.23805,86292.69398,89054.2233,93001.75496,96923.34584,99663.99907,101527.9079,103418.7872,105180.4389,106782.7641,108774.266,109833.8868,110867.1475,111490.21,112088.2683,112852.3311,113546.0163,114654.9651,115307.5817,115315.7058,115315.7058
GRD,35398.62732,64175.75233,78731.43479,89797.86344,94108.92441,97234.1706,99736.2222,104286.2981,105230.4182,105319.403,105319.9936,105336.1301,105387.9346,105471.7984,105480.5341,105483.7345,105483.7345,105483.7345,105483.7345,105485.5919,105897.4466,106542.4414,107273.1253,107632.5205,108149.8463,108274.6483,108315.4186,108315.4186,108315.4186,108315.4186
BLZ,13397.81034,36288.99438,83542.29848,123003.7184,177198.0497,207398.1314,232420.1587,244870.1866,256166.1438,263042.5357,270110.8615,277222.617,283950.886,290884.8995,297760.4441,306848.3021,317981.2911,330289.5624,340264.2264,351123.212,360642.1025,371650.9507,384373.6207,397784.3057,406734.8123,414587.4093,422354.2658,430824.3949,439934.1714,448286.0348
SDN,8042.700039,9843.107508,11567.64385,13214.45435,14656.13246,16059.53816,17343.55553,18598.54093,19837.75021,20981.06183,22040.52262,23055.57502,24038.57877,25022.02683,26040.71768,28056.67992,30630.08206,33497.18844,38192.54885,50094.05461,67861.43676,91280.33136,120320.3497,158180.0954,206929.8488,256633.2357,315618.2417,364128.0029,418120.7471,460504.1584
LKA,9335.069265,19558.5124,31567.22991,47154.96911,62000.42563,86495.46696,110971.1608,140235.7526,180813.4183,214811.2671,263576.4717,299989.5837,350536.6764,407258.2681,464505.2903,525372.4747,578168.4685,625650.3337,662549.9892,701082.8441,746533.3948,789834.1208,833645.8362,870642.1338,908425.5192,944074.5659,979720.6799,1025270.035,1056179.181,1087393.959
ATG,17765.40005,28196.30065,40247.24816,53291.58046,73180.12743,86668.27325,90803.25283,92944.78825,94354.49976,95315.3467,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319,95456.35319
CUW,22052.53619,40539.60947,65700.87862,95904.07009,115579.5968,134057.8514,150811.5928,163565.8885,166618.8984,168614.5533,170047.4413,170966.0736,171286.3929,171356.2143,171417.671,171502.4389,171608.1454,171777.5185,171896.1068,172182.5606,172371.2843,172480.3632,172481.7441,172481.7441,172481.7441,172481.7441,172481.7441,172481.7441,172481.7441,172481.7441
QAT,23075.33916,30081.68362,40971.13246,51856.69751,72575.54532,96930.60127,115027.8419,129835.9993,148963.6664,167692.1125,193636.4905,215792.0687,235849.5812,255683.592,271619.2615,289971.2363,309416.0986,336165.0859,367594.6587,410022.4272,460351.6123,514057.646,583064.7682,716086.9803,957338.7346,1173644.258,1583499.812,1918633.283,2171003.316,2350713.911
EGY,139341.1282,200113.2013,233894.9003,255640.6126,269419.5543,281752.6697,295626.9359,310445.3655,325804.8172,344462.9787,363414.2484,382472.9579,396618.1631,411322.7286,424949.2471,435886.0491,451598.8745,468797.5525,481662.1751,491423.9026,498663.5966,504437.808,509697.951,514640.8949,519552.8667,524746.1708,530486.4849,536080.9775,543440.4415,550373.7303
